Date,Open,High,Low,Close,Adj Close,Volume
2021-07-08,220.000000,229.399994,218.800003,219.800003,219.714081,13048352
2021-07-09,220.000000,223.600006,208.000000,216.199997,216.115494,13116302
2021-07-12,219.000000,237.199997,218.600006,233.000000,232.908920,15987323
2021-07-13,233.000000,239.800003,231.399994,234.199997,234.108444,7308539
2021-07-14,232.800003,232.800003,216.399994,221.000000,220.913620,15524288
2021-07-15,218.000000,220.199997,210.199997,213.800003,213.716431,14811318
2021-07-16,215.000000,219.600006,209.399994,212.399994,212.316971,10205806
2021-07-19,211.199997,217.399994,207.199997,208.199997,208.118622,9505004
2021-07-20,205.600006,209.600006,202.000000,206.000000,205.919479,7703642
2021-07-21,209.000000,221.399994,208.000000,218.600006,218.514557,12907009
2021-07-22,222.000000,225.800003,219.000000,223.800003,223.712524,8390483
2021-07-23,222.000000,232.399994,222.000000,227.199997,227.111191,14205705
2021-07-26,221.800003,231.600006,217.399994,217.800003,217.714874,14095100
2021-07-27,217.199997,227.199997,196.000000,204.000000,203.920258,17660233
2021-07-28,200.000000,211.600006,196.399994,211.000000,210.917526,13516624
2021-07-29,218.000000,232.000000,212.800003,231.000000,230.909698,19576189
2021-07-30,226.000000,240.000000,225.600006,239.000000,238.906570,17467776
2021-08-02,248.000000,260.200012,246.399994,258.200012,258.099091,22953883
2021-08-03,272.000000,272.000000,252.199997,259.000000,258.898773,18542113
2021-08-04,259.000000,282.399994,256.000000,280.600006,280.490326,21745413
2021-08-05,278.600006,279.200012,270.399994,270.799988,270.694122,12957963
2021-08-06,282.399994,295.000000,270.799988,275.399994,275.292358,15320557
2021-08-09,270.600006,270.600006,259.000000,263.600006,263.496979,13268477
2021-08-10,267.000000,270.000000,257.000000,270.000000,269.894470,11807617
2021-08-11,266.799988,272.799988,263.000000,268.399994,268.295074,6505926
2021-08-12,270.200012,282.799988,265.600006,276.799988,276.691803,11058226
2021-08-13,272.600006,281.799988,269.600006,273.399994,273.293121,6520292
2021-08-16,270.200012,273.399994,251.000000,253.600006,253.500870,14343378
2021-08-17,251.000000,261.200012,242.399994,252.800003,252.701187,11617232
2021-08-18,253.800003,261.600006,248.000000,256.799988,256.699615,8963285
2021-08-19,258.000000,266.399994,256.200012,258.399994,258.298981,10280450
2021-08-20,257.200012,260.000000,244.199997,250.399994,250.302109,12589663
2021-08-23,253.399994,267.600006,251.199997,262.399994,262.297424,10383097
2021-08-24,268.000000,273.799988,262.000000,266.600006,266.495789,8611652
2021-08-25,267.399994,269.000000,263.000000,266.399994,266.295868,4742219
2021-08-26,265.600006,268.799988,254.000000,256.399994,256.299774,6249139
2021-08-27,252.600006,266.000000,252.000000,262.399994,262.297424,7148351
2021-08-30,255.000000,262.799988,249.000000,261.399994,261.297821,14383741
