Time Serie,AUSTRALIA
1/3/2000,1.5172
1/4/2000,1.5239
1/5/2000,1.5267
1/6/2000,1.5291
1/7/2000,1.5272
1/10/2000,1.5242
1/11/2000,1.5209
1/12/2000,1.5202
1/13/2000,1.4954
1/14/2000,1.5004
1/18/2000,1.506
1/19/2000,1.5074
1/20/2000,1.5002
1/21/2000,1.5103
1/24/2000,1.5281
1/25/2000,1.5286
1/26/2000,1.5373
1/27/2000,1.5267
1/28/2000,1.5962
1/31/2000,1.5669
2/1/2000,1.5835
2/2/2000,1.5723
2/3/2000,1.5657
2/4/2000,1.5835
2/7/2000,1.5775
2/8/2000,1.5741
2/9/2000,1.576
2/10/2000,1.5823
2/11/2000,1.5918
2/14/2000,1.5926
2/15/2000,1.5873
2/16/2000,1.587
2/17/2000,1.5823
2/18/2000,1.5893
2/22/2000,1.5982
2/23/2000,1.6139
2/24/2000,1.6276
2/25/2000,1.6194
2/28/2000,1.6351
2/29/2000,1.6247
3/1/2000,1.6483
3/2/2000,1.6455
3/3/2000,1.6442
3/6/2000,1.6622
3/7/2000,1.657
3/8/2000,1.641
3/9/2000,1.6247
3/10/2000,1.6297
3/13/2000,1.6221
3/14/2000,1.6287
3/15/2000,1.6327
3/16/2000,1.6375
3/17/2000,1.6483
3/20/2000,1.6488
3/21/2000,1.6393
3/22/2000,1.6513
3/23/2000,1.6554
3/24/2000,1.6491
3/27/2000,1.6356
3/28/2000,1.6284
3/29/2000,1.6329
3/30/2000,1.6327
3/31/2000,1.6496
4/3/2000,1.6466
4/4/2000,1.6578
4/5/2000,1.6521
4/6/2000,1.6622
4/7/2000,1.6658
4/10/2000,1.6692
4/11/2000,1.6787
4/12/2000,1.675
4/13/2000,1.677
4/14/2000,1.6745
4/17/2000,1.6912
4/18/2000,1.6818
4/19/2000,1.6787
4/20/2000,1.6861
4/21/2000,1.6878
4/24/2000,1.6821
4/25/2000,1.679
4/26/2000,1.6978
4/27/2000,1.7021
4/28/2000,1.7132
5/1/2000,1.7241
5/2/2000,1.7074
5/3/2000,1.6949
5/4/2000,1.6909
5/5/2000,1.6849
5/8/2000,1.7036
5/9/2000,1.7159
5/10/2000,1.7197
5/11/2000,1.7271
