REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,1/1/2022 0:05,7206.03,124.86,TRADE
NSW1,1/1/2022 0:10,7174.26,126.02,TRADE
NSW1,1/1/2022 0:15,7135,124.93,TRADE
NSW1,1/1/2022 0:20,7065.84,113.54,TRADE
NSW1,1/1/2022 0:25,6995.08,123.12,TRADE
NSW1,1/1/2022 0:30,6988.47,124.06,TRADE
NSW1,1/1/2022 0:35,6967.3,124.43,TRADE
NSW1,1/1/2022 0:40,6974.2,126.24,TRADE
NSW1,1/1/2022 0:45,6918.46,125.2,TRADE
NSW1,1/1/2022 0:50,6828.85,120,TRADE
NSW1,1/1/2022 0:55,6778.23,97.31,TRADE
NSW1,1/1/2022 1:00,6749.21,93.63,TRADE
NSW1,1/1/2022 1:05,6631.21,107.8,TRADE
NSW1,1/1/2022 1:10,6655.52,107.8,TRADE
NSW1,1/1/2022 1:15,6496.85,91.92,TRADE
NSW1,1/1/2022 1:20,6520.86,107.8,TRADE
NSW1,1/1/2022 1:25,6439.22,91.37,TRADE
NSW1,1/1/2022 1:30,6429.13,91.39,TRADE
NSW1,1/1/2022 1:35,6370.55,92.15,TRADE
NSW1,1/1/2022 1:40,6333.25,100.28,TRADE
NSW1,1/1/2022 1:45,6237.88,91.91,TRADE
NSW1,1/1/2022 1:50,6271.96,100.3,TRADE
NSW1,1/1/2022 1:55,6155.27,85,TRADE
NSW1,1/1/2022 2:00,6161.94,85,TRADE
NSW1,1/1/2022 2:05,6111.41,92.37,TRADE
NSW1,1/1/2022 2:10,6105.33,97.31,TRADE
NSW1,1/1/2022 2:15,6111.52,92.37,TRADE
NSW1,1/1/2022 2:20,6104.21,74.39,TRADE
NSW1,1/1/2022 2:25,6053.46,92.8,TRADE
NSW1,1/1/2022 2:30,6051.47,86.17,TRADE
NSW1,1/1/2022 2:35,6063.27,107.51,TRADE
NSW1,1/1/2022 2:40,5999.32,106.91,TRADE
NSW1,1/1/2022 2:45,6011.51,107.8,TRADE
NSW1,1/1/2022 2:50,5969.26,107.8,TRADE
NSW1,1/1/2022 2:55,5977.47,106.9,TRADE
NSW1,1/1/2022 3:00,5978.2,105.43,TRADE
NSW1,1/1/2022 3:05,5957.39,106.22,TRADE
NSW1,1/1/2022 3:10,5980.59,107.8,TRADE
NSW1,1/1/2022 3:15,5978.83,107.43,TRADE
NSW1,1/1/2022 3:20,5973.53,106.37,TRADE
NSW1,1/1/2022 3:25,5922.33,88.28,TRADE
NSW1,1/1/2022 3:30,5960.85,88.44,TRADE
NSW1,1/1/2022 3:35,5886.83,78.07,TRADE
NSW1,1/1/2022 3:40,5916.38,78.07,TRADE
NSW1,1/1/2022 3:45,5923.22,80.88,TRADE
NSW1,1/1/2022 3:50,5896.81,75.67,TRADE
NSW1,1/1/2022 3:55,5894.29,78.07,TRADE
NSW1,1/1/2022 4:00,5906.82,75.98,TRADE
NSW1,1/1/2022 4:05,5939.25,87.69,TRADE
NSW1,1/1/2022 4:10,5898.91,76.48,TRADE
NSW1,1/1/2022 4:15,5912.59,73.54,TRADE
NSW1,1/1/2022 4:20,5870.26,76.41,TRADE
NSW1,1/1/2022 4:25,5865.69,69.69,TRADE
NSW1,1/1/2022 4:30,5859.17,70.93,TRADE
