Date,GOOG,FB,AMZN,NFLX
2/1/2013,360.274597,28,257.309998,13.144286
3/1/2013,360.483826,27.77,258.480011,13.798571
4/1/2013,367.607117,28.76,259.149994,13.711429
7/1/2013,366.003143,29.42,268.459991,14.171429
8/1/2013,365.280823,29.059999,266.380005,13.88
9/1/2013,367.681824,30.59,266.350006,13.701429
10/1/2013,369.35556,31.299999,265.339996,14
11/1/2013,368.613342,31.719999,267.940002,14.47
14/1/2013,360.274597,30.950001,272.730011,14.778571
15/1/2013,361.111481,30.1,271.899994,14.527143
16/1/2013,356.259644,29.85,268.929993,13.925714
17/1/2013,354.331879,30.139999,270.480011,13.957143
18/1/2013,350.939606,29.66,272.119995,14.167143
22/1/2013,350.12265,30.73,270.190002,13.972857
23/1/2013,369.36554,30.82,268.109985,14.751429
24/1/2013,375.696808,31.08,273.459991,20.98
25/1/2013,375.427795,31.540001,283.98999,24.222857
28/1/2013,373.963287,32.470001,276.040009,23.158571
29/1/2013,375.4328,30.790001,260.350006,24.16
30/1/2013,375.507507,31.24,272.76001,23.957144
31/1/2013,376.434021,30.98,265.5,23.605715
1/2/2013,386.351868,29.73,265,23.542856
4/2/2013,378.092804,28.110001,259.980011,24.962856
5/2/2013,381.440277,28.639999,266.890015,24.912857
6/2/2013,383.647003,29.049999,262.220001,26.344286
7/2/2013,385.529938,28.65,260.230011,25.994286
8/2/2013,391.218628,28.549999,261.950012,25.852858
11/2/2013,389.749115,28.26,257.209991,25.412857
12/2/2013,388.892334,27.370001,258.700012,25.421429
13/2/2013,389.968292,27.91,269.470001,26.610001
14/2/2013,392.439056,28.5,269.23999,26.771429
15/2/2013,394.964569,28.32,265.089996,27.072857
19/2/2013,401.918518,28.93,269.75,28.064285
20/2/2013,394.750366,28.459999,266.410004,26.731428
21/2/2013,396.279633,27.280001,265.940002,26.735714
22/2/2013,398.361847,27.129999,265.420013,25.694286
25/2/2013,393.908539,27.27,259.869995,25.617144
26/2/2013,393.589722,27.389999,259.359985,26.298571
27/2/2013,398.396698,26.870001,263.25,26.331429
28/2/2013,399.104065,27.25,264.269989,26.86857
1/3/2013,401.589752,27.780001,265.73999,27.052856
4/3/2013,409.216156,27.719999,273.109985,25.887142
5/3/2013,417.734222,27.52,275.589996,25.96143
6/3/2013,414.137695,27.450001,273.790009,26.134287
7/3/2013,414.745422,28.58,273.880005,25.937143
8/3/2013,414.207458,27.959999,274.190002,26.385714
11/3/2013,415.851288,28.139999,271.23999,25.77857
12/3/2013,412.259735,27.83,274.130005,26.015715
13/3/2013,411.114044,27.08,275.100006,27.48
14/3/2013,409.236084,27.040001,265.73999,26.91
15/3/2013,405.629608,26.65,261.820007,26.407143
18/3/2013,402.386749,26.49,257.890015,26.512857
19/3/2013,404.145172,26.549999,256.410004,25.91
20/3/2013,405.833832,25.860001,257.279999,26.15
21/3/2013,404.115265,25.74,253.389999,25.998571
22/3/2013,403.642059,25.73,257.75,25.9
25/3/2013,403.308289,25.129999,256.019989,25.827143
26/3/2013,404.693115,25.209999,260.309998,27.23
27/3/2013,399.831329,26.09,265.299988,27.177143
28/3/2013,395.612152,25.58,266.48999,27.040001
1/4/2013,399.099091,25.530001,261.609985,26.061428
2/4/2013,405.001953,25.42,263.320007,25.241428
3/4/2013,401.594727,26.25,259.029999,24.248571
4/4/2013,396.050507,27.07,259.079987,23.812857
5/4/2013,390.062958,27.389999,255.479996,23.522858
8/4/2013,385.978271,26.85,258.950012,23.294287
9/4/2013,387.373016,26.59,261.140015,24.194286
10/4/2013,393.614624,27.57,264.769989,23.724285
11/4/2013,393.719238,28.02,269.850006,24.715714
12/4/2013,393.549866,27.4,272.869995,24.742857
15/4/2013,389.505035,26.52,267.720001,25.214287
16/4/2013,395.203674,26.92,272.339996,25.121429
17/4/2013,389.818878,26.629999,267.399994,24.194286
18/4/2013,381.524963,25.690001,259.420013,23.402857
19/4/2013,398.441528,25.73,260.320007,23.338572
22/4/2013,398.561096,25.969999,263.549988,24.91
23/4/2013,402.441559,25.98,268.899994,30.998571
24/4/2013,405.206177,26.110001,268.779999,30.959999
25/4/2013,403.039307,26.139999,274.700012,30.535713
26/4/2013,399.213654,26.85,254.809998,30.792856
29/4/2013,408.000702,26.98,249.740005,30.715714
30/4/2013,410.745422,27.77,253.809998,30.867144
1/5/2013,408.683167,27.43,248.229996,30.415714
2/5/2013,413.256012,28.969999,252.550003,30.64143
3/5/2013,421.280945,28.309999,258.049988,30.492857
6/5/2013,429.166382,27.57,255.720001,30.098572
7/5/2013,427.014435,26.889999,257.730011,29.464287
8/5/2013,435.183838,27.120001,258.679993,29.80143
9/5/2013,434.112854,27.040001,260.160004,30.915714
10/5/2013,438.471497,26.68,263.630005,31.098572
13/5/2013,437.126556,26.82,264.51001,32.76857
14/5/2013,441.893677,27.07,268.329987,33.424286
15/5/2013,456.234924,26.6,266.559998,34.771427
16/5/2013,450.247375,26.129999,264.119995,33.861427
17/5/2013,452.892456,26.25,269.899994,34.142857
20/5/2013,452.568665,25.76,267.630005,34.221428
21/5/2013,451.791565,25.66,268.859985,33.869999
22/5/2013,443.049347,25.16,262.959991,32.651428
23/5/2013,439.746735,25.059999,261.799988,32.311428
24/5/2013,435.029388,24.309999,261.73999,32.677143
28/5/2013,438.989563,24.1,267.290009,30.598572
29/5/2013,432.533752,23.32,265.529999,30.762857
30/5/2013,433.754181,24.549999,266.829987,31.808571
31/5/2013,433.983337,24.35,269.200012,32.32143
3/6/2013,432.195038,23.85,266.880005,31.709999
4/6/2013,427.945953,23.52,265.700012,32.187141
5/6/2013,428.244843,22.9,267.170013,31.922857
6/6/2013,430.705597,22.969999,267.829987,31.105715
7/6/2013,438.222443,23.290001,276.869995,31.459999
10/6/2013,443.447845,24.33,281.070007,31.561428
11/6/2013,438.262299,24.030001,274.779999,30.637142
12/6/2013,434.361908,23.77,271.670013,29.662857
13/6/2013,436.862518,23.73,275.790009,30.77
14/6/2013,435.8862,23.629999,273.98999,30.57
17/6/2013,441.470276,24.02,278.059998,32.747143
18/6/2013,448.628418,24.209999,281.76001,32.689999
19/6/2013,448.658325,24.309999,278.160004,33.187141
20/6/2013,440.718079,23.9,273.440002,31.931429
21/6/2013,438.82019,24.530001,273.359985,30.985714
24/6/2013,433.270996,23.940001,270.609985,30.799999
25/6/2013,431.482697,24.25,272.089996,30.414286
26/6/2013,435.193787,24.16,277.570007,30.299999
27/6/2013,436.8974,24.66,277.549988,30.709999
28/6/2013,438.541229,24.879999,277.690002,30.155714
1/7/2013,442.282227,24.809999,282.100006,32.040001
2/7/2013,439.507629,24.41,283.730011,31.637142
3/7/2013,441.559937,24.52,284.029999,31.558571
5/7/2013,445.076752,24.370001,285.880005,32.157143
8/7/2013,450.855072,24.709999,290.589996,33.299999
9/7/2013,450.92981,25.48,291.529999,35.34
10/7/2013,451.303406,25.799999,292.329987,34.831429
11/7/2013,458.401794,25.809999,299.660004,34.881428
12/7/2013,459.776642,25.91,307.549988,36.751431
15/7/2013,460.6185,26.280001,306.570007,36.854286
16/7/2013,458.087982,26.32,306.869995,37.21143
17/7/2013,457.559967,26.65,308.690002,38.274284
18/7/2013,453.639648,26.18,304.109985,38.058571
19/7/2013,446.625946,25.879999,305.230011,37.797142
22/7/2013,453.649597,26.049999,303.480011,37.422855
23/7/2013,450.212494,26.129999,301.059998,35.751431
24/7/2013,449.76416,26.51,298.940002,34.471428
25/7/2013,442.192566,34.360001,303.399994,35.248569
26/7/2013,441.021942,34.009998,312.01001,35.187141
29/7/2013,439.487701,35.43,306.100006,34.994286
30/7/2013,443.796539,37.630001,302.410004,34.822857
31/7/2013,442.217468,36.799999,301.220001,34.925713
1/8/2013,450.421722,37.490002,305.570007,35.58857
2/8/2013,451.592316,38.049999,304.209991,35.168571
5/8/2013,450.810242,39.189999,300.98999,36.262856
6/8/2013,446.610992,38.549999,300.75,36.557144
7/8/2013,443.662048,38.869999,296.910004,35.601429
8/8/2013,444.6633,38.540001,295.73999,35.771427
9/8/2013,443.54248,38.5,297.26001,36.107143
12/8/2013,441.101654,38.220001,296.690002,36.657143
13/8/2013,438.979584,37.02,293.970001,37.027142
14/8/2013,433.280945,36.650002,291.339996,37.401428
15/8/2013,428.224915,36.560001,286.470001,36.201427
16/8/2013,426.855042,37.080002,284.820007,36.98143
19/8/2013,431.20871,37.810001,285.570007,37.111427
20/8/2013,431.094147,38.41,287.089996,39.041428
21/8/2013,433.04184,38.32,284.570007,38.624287
22/8/2013,435.223663,38.549999,289.730011,38.535713
23/8/2013,433.480225,40.549999,290.01001,39.765713
